127.0.0.1 - - [21/May/2023:14:18:44 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/May/2023:14:18:45 +0700] "GET /BOOKINGTOUR/ HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [21/May/2023:14:18:52 +0700] "POST /BOOKINGTOUR/login.htm HTTP/1.1" 200 5610
0:0:0:0:0:0:0:1 - - [21/May/2023:14:18:52 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/May/2023:14:18:55 +0700] "GET /BOOKINGTOUR/danhsachnhanvien.htm HTTP/1.1" 200 10871
0:0:0:0:0:0:0:1 - - [21/May/2023:14:18:55 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/May/2023:14:18:55 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [21/May/2023:14:19:02 +0700] "GET /BOOKINGTOUR/suanhanvien/123%20%20%20%20%20%20%20.htm HTTP/1.1" 200 35977
0:0:0:0:0:0:0:1 - - [21/May/2023:14:19:02 +0700] "GET /BOOKINGTOUR/suanhanvien/assets/css/all.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [21/May/2023:14:19:02 +0700] "GET /BOOKINGTOUR/suanhanvien/assets/css/trangchu.css HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [21/May/2023:14:19:07 +0700] "GET /BOOKINGTOUR/suanhanvien/admin1%20%20%20%20.htm HTTP/1.1" 200 36152
0:0:0:0:0:0:0:1 - - [21/May/2023:14:19:07 +0700] "GET /BOOKINGTOUR/suanhanvien/assets/css/trangchu.css HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [21/May/2023:14:19:07 +0700] "GET /BOOKINGTOUR/suanhanvien/assets/css/all.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [21/May/2023:14:23:25 +0700] "GET /BOOKINGTOUR/danhsachnhanvien.htm HTTP/1.1" 200 15684
0:0:0:0:0:0:0:1 - - [21/May/2023:14:23:25 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
